"","animalID","sex","cohort","age_days","harvest_date","hatch_date","tissue","tissue_grind_date","RNA_extract_date","RNA_batch","RNA_extractor","RNAID","cDNA_batch","plate_well","sampleNames","lib","censored","censor_code","notes"
"F4_1","J_1A_14","M","1A",75,"11/22/21","9/8/21","Gut",NA,"3/9/23","Gut_2","EC","RNA405",1,"F4","F4","F4_1",NA,NA,NA
"F5_1","H_02","M","2",52,"5/5/22","3/14/22","Liver",NA,"1/30/23","Liver_2","EC","R06",1,"F5","F5","F5_1",NA,NA,NA
"F5_2","A01","M","2",78,"5/31/22","3/14/22","Fat","4/11/23","4/16/23","Fat_1","EC","RNA522",2,"F5","F5","F5_2",NA,NA,NA
"F6_1","E04","M","2",102,"6/24/22","3/14/22","Liver",NA,"1/30/23","Liver_2","IG","R22",1,"F6","F6","F6_1",NA,NA,NA
"F6_2","P_1B_8","M","1B",147,"2/14/22","9/20/21","Fat","4/12/23","4/17/23","Fat_2","EC","RNA538",2,"F6","F6","F6_2",NA,NA,NA
"F7_1","J_1B_11","M","1B",161,"2/28/22","9/20/21","Liver",NA,"3/21/22","Liver_1","EC","RNA679",1,"F7","F7","F7_1",NA,NA,NA
"F7_2","J_1A_22","M","1A",47,"10/25/21","9/8/21","Fat","4/12/23","4/19/23","Fat_3","EC","RNA554",2,"F7","F7","F7_2",NA,NA,NA
"F8_1","P_1B_11","M","1B",147,"2/14/22","9/20/21","Liver",NA,"3/21/22","Liver_1","IG","RNA695",1,"F8","F8","F8_1",NA,NA,NA
"F9_1","J9","F","2",155,"8/16/22","3/14/22","Kidney",NA,"3/4/23","Kidney_1","EC","R247",1,"F9","F9","F9_1",NA,NA,NA
"F9_2","F05","M","2",102,"6/24/22","3/14/22","SpinalCord",NA,"3/10/23","SpinalCord_1","EC","RNA412",2,"F9","F9","F9_2",NA,NA,NA
"G1_1","I03","M","2",162,"8/23/22","3/14/22","Gut",NA,"3/8/23","Gut_1","EC","RNA358",1,"G1","G1","G1_1",NA,NA,NA
"G1_2","E02","F","2",78,"5/31/22","3/14/22","Bone","4/19/23","4/22/23","Bone_1","EC","RNA578",2,"G1","G1","G1_2",NA,NA,NA
"G10_1","P_1A_3","M","1A",152,"2/7/22","9/8/21","Kidney",NA,"3/4/23","Kidney_1","JC","R264",1,"G10","G10","G10_1",NA,NA,NA
"G10_2","P_1B_1","F","1B",77,"12/6/21","9/20/21","SpinalCord",NA,"3/13/23","SpinalCord_2","JC","RNA429",2,"G10","G10","G10_2",NA,NA,NA
"G11_1","D_06","F","2",52,"5/5/22","3/14/22","Kidney",NA,"3/4/23","Kidney_2","JC","R280",1,"G11","G11","G11_1",NA,NA,NA
"G11_2","J_1B_11","M","1B",161,"2/28/22","9/20/21","SpinalCord",NA,"3/13/23","SpinalCord_2","EC","RNA445",2,"G11","G11","G11_2",NA,NA,NA
"G12_1","J_1A_25","M","1A",103,"12/20/21","9/8/21","Kidney",NA,"3/4/23","Kidney_2","EC","R296",1,"G12","G12","G12_1",NA,NA,NA
"G13_1","J05","F","2",102,"6/24/22","3/14/22","Muscle",NA,"3/15/23","Muscle_1","EC","RNA468",1,"G13","G13","G13_1",NA,NA,NA
"G13_2","H_02","M","2",52,"5/5/22","3/14/22","Heart",NA,"3/3/23","Heart_1","EC","R193",2,"G13","G13","G13_2",NA,NA,NA
"G14_1","P_1A_8","F","1A",75,"11/22/21","9/8/21","Muscle",NA,"3/17/23","Muscle_2","EC","RNA484",1,"G14","G14","G14_1",NA,NA,NA
"G14_2","P_1B_3","F","1B",77,"12/6/21","9/20/21","Heart",NA,"3/3/23","Heart_1","JC","R209",2,"G14","G14","G14_2",NA,NA,NA
"G15_1","P_1B_9","F","1B",49,"11/8/21","9/20/21","Muscle",NA,"3/27/23","Muscle_3","EC","RNA500",1,"G15","G15","G15_1",NA,NA,NA
"G15_2","I03","M","2",162,"8/23/22","3/14/22","Heart",NA,"3/3/23","Heart_2","EC","R225",2,"G15","G15","G15_2",NA,NA,NA
"G16_1","J_1B_20","M","1B",77,"12/6/21","9/20/21","Muscle",NA,"3/27/23","Muscle_3","EC","RNA516",1,"G16","G16","G16_1",NA,NA,NA
"G16_2","J_1B_2","M","1B",49,"11/8/21","9/20/21","Heart",NA,"3/3/23","Heart_2","EC","R241",2,"G16","G16","G16_2",NA,NA,NA
"G17_1","I05","F","2",134,"7/26/22","3/14/22","Skin",NA,"2/8/23","Skin_1","EC","R83",1,"G17","G17","G17_1",NA,NA,NA
"G17_2","F05","M","2",102,"6/24/22","3/14/22","Spleen",NA,"3/6/23","Spleen_1","EC","RNA303",2,"G17","G17","G17_2",NA,NA,NA
"G18_1","P_1A_6","M","1A",133,"1/19/22","9/8/21","Skin",NA,"2/8/23","Skin_1","IG","R99",1,"G18","G18","G18_1",NA,NA,NA
"G18_2","J_1B_13","M","1B",77,"12/6/21","9/20/21","Spleen",NA,"3/6/23","Spleen_1","JC","RNA319",2,"G18","G18","G18_2",NA,NA,NA
"G19_1","J_1B_12","M","1B",49,"11/8/21","9/20/21","Skin",NA,"2/8/23","Skin_2","IG","R115",1,"G19","G19","G19_1",NA,NA,NA
"G19_2","J_1B_18","F","1B",133,"1/31/22","9/20/21","Spleen",NA,"3/6/23","Spleen_2","EC","RNA335",2,"G19","G19","G19_2",NA,NA,NA
"G2_1","P_1A_2","F","1A",103,"12/20/21","9/8/21","Gut",NA,"3/8/23","Gut_1","JC","RNA374",1,"G2","G2","G2_1",NA,NA,NA
"G2_2","P_1A_2","F","1A",103,"12/20/21","9/8/21","Bone","4/26/23","4/22/23","Bone_2","EC","RNA596",2,"G2","G2","G2_2",NA,NA,NA
"G20_1","P_1B_8","M","1B",147,"2/14/22","9/20/21","Skin",NA,"2/8/23","Skin_2","EC","R131",1,"G20","G20","G20_1",NA,NA,NA
"G20_2","P_1B_11","M","1B",147,"2/14/22","9/20/21","Spleen",NA,"3/6/23","Spleen_2","EC","RNA351",2,"G20","G20","G20_2",NA,NA,NA
"G21_1","H_02","M","2",52,"5/5/22","3/14/22","Testis",NA,"2/10/23","Testis_1","EC","138",1,"G21","G21","G21_1",NA,NA,NA
"G21_2","A01","M","2",78,"5/31/22","3/14/22","Brain",NA,"1/31/23","Brain_1","IG","R29",2,"G21","G21","G21_2",NA,NA,NA
"G22_2","P_1A_1","F","1A",47,"10/25/21","9/8/21","Brain",NA,"1/31/23","Brain_1","EC","R45",2,"G22","G22","G22_2",NA,NA,NA
"G23_1","P_1B_3","F","1B",77,"12/6/21","9/20/21","Ovary",NA,"2/24/23","Ovary_2","EC","170",1,"G23","G23","G23_1",NA,NA,NA
"G23_2","J_1A_14","M","1A",75,"11/22/21","9/8/21","Brain",NA,"2/1/23","Brain_2","EC","R61",2,"G23","G23","G23_2",NA,NA,NA
"G24_1","P_1B_11","M","1B",147,"2/14/22","9/20/21","Testis",NA,"2/24/23","Testis_2","JC","186",1,"G24","G24","G24_1",NA,NA,NA
"G24_2","P_1B_4","F","1B",147,"2/14/22","9/20/21","Brain",NA,"2/1/23","Brain_2","IG","R77",2,"G24","G24","G24_2",NA,NA,NA
"G3_1","J_1B_6","F","1B",133,"1/31/22","9/20/21","Gut",NA,"3/9/23","Gut_2","EC","RNA390",1,"G3","G3","G3_1",NA,NA,NA
"G3_2","J_1B_5","F","1B",49,"11/8/21","9/20/21","Bone","4/28/23","4/29/23","Bone_3","EC","RNA612",2,"G3","G3","G3_2",NA,NA,NA
"G4_1","P_1A_1","F","1A",47,"10/25/21","9/8/21","Gut",NA,"3/9/23","Gut_2","EC","RNA406",1,"G4","G4","G4_1",NA,NA,NA
"G5_1","E02","F","2",78,"5/31/22","3/14/22","Liver",NA,"1/30/23","Liver_2","EC","R07",1,"G5","G5","G5_1",NA,NA,NA
"G5_2","I03","M","2",162,"8/23/22","3/14/22","Fat","4/11/23","4/16/23","Fat_1","EC","RNA523",2,"G5","G5","G5_2",NA,NA,NA
"G6_1","J_1A_24","F","1A",47,"10/25/21","9/8/21","Liver",NA,"3/21/22","Liver_1","EC","RNA664",1,"G6","G6","G6_1",NA,NA,NA
"G6_2","P_1A_10","M","1A",103,"12/20/21","9/8/21","Fat","4/12/23","4/17/23","Fat_2","EC","RNA539",2,"G6","G6","G6_2",NA,NA,NA
"G7_1","P_1A_1","F","1A",47,"10/25/21","9/8/21","Liver",NA,"3/21/22","Liver_1","IG","RNA680",1,"G7","G7","G7_1",NA,NA,NA
"G7_2","J_1A_24","F","1A",47,"10/25/21","9/8/21","Fat","4/12/23","4/19/23","Fat_3","EC","RNA555",2,"G7","G7","G7_2",NA,NA,NA
"G8_1","J_1B_4","M","1B",161,"2/28/22","9/20/21","Liver",NA,"3/21/22","Liver_1","IG","RNA696",1,"G8","G8","G8_1",NA,NA,NA
"G9_1","I06","F","2",78,"5/31/22","3/14/22","Kidney",NA,"3/4/23","Kidney_1","EC","R248",1,"G9","G9","G9_1",NA,NA,NA
"G9_2","B01","M","2",134,"7/26/22","3/14/22","SpinalCord",NA,"3/10/23","SpinalCord_1","EC","RNA413",2,"G9","G9","G9_2",NA,NA,NA
"H1_1","H_02","M","2",52,"5/5/22","3/14/22","Gut",NA,"3/8/23","Gut_1","EC","RNA359",1,"H1","H1","H1_1",NA,NA,NA
"H1_2","E_01","M","2",52,"5/5/22","3/14/22","Bone","4/19/23","4/22/23","Bone_1","EC","RNA579",2,"H1","H1","H1_2",NA,NA,NA
"H10_1","P_1A_8","F","1A",75,"11/22/21","9/8/21","Kidney",NA,"3/4/23","Kidney_1","JC","R265",1,"H10","H10","H10_1",NA,NA,NA
"H10_2","P_1A_3","M","1A",152,"2/7/22","9/8/21","SpinalCord",NA,"3/13/23","SpinalCord_2","JC","RNA430",2,"H10","H10","H10_2",NA,NA,NA
"H11_1","E_01","M","2",52,"5/5/22","3/14/22","Kidney",NA,"3/4/23","Kidney_2","JC","R281",1,"H11","H11","H11_1",NA,NA,NA
"H11_2","J_1B_13","M","1B",77,"12/6/21","9/20/21","SpinalCord",NA,"3/13/23","SpinalCord_2","EC","RNA446",2,"H11","H11","H11_2",NA,NA,NA
"H13_1","D_06","F","2",52,"5/5/22","3/14/22","Muscle",NA,"3/15/23","Muscle_1","EC","RNA469",1,"H13","H13","H13_1",NA,NA,NA
"H13_2","D_14","F","2",52,"5/5/22","3/14/22","Heart",NA,"3/3/23","Heart_1","EC","R194",2,"H13","H13","H13_2",NA,NA,NA
"H14_1","P_1A_6","M","1A",133,"1/19/22","9/8/21","Muscle",NA,"3/17/23","Muscle_2","EC","RNA485",1,"H14","H14","H14_1",NA,NA,NA
"H14_2","P_1B_4","F","1B",147,"2/14/22","9/20/21","Heart",NA,"3/3/23","Heart_1","JC","R210",2,"H14","H14","H14_2",NA,NA,NA
"H15_1","J_1B_12","M","1B",49,"11/8/21","9/20/21","Muscle",NA,"3/27/23","Muscle_3","EC","RNA501",1,"H15","H15","H15_1",NA,NA,NA
"H15_2","I06","F","2",78,"5/31/22","3/14/22","Heart",NA,"3/3/23","Heart_2","EC","R226",2,"H15","H15","H15_2",NA,NA,NA
"H17_1","H_02","M","2",52,"5/5/22","3/14/22","Skin",NA,"2/8/23","Skin_1","EC","R84",1,"H17","H17","H17_1",NA,NA,NA
"H17_2","J05","F","2",102,"6/24/22","3/14/22","Spleen",NA,"3/6/23","Spleen_1","EC","RNA304",2,"H17","H17","H17_2",NA,NA,NA
"H18_1","P_1B_11","M","1B",147,"2/14/22","9/20/21","Skin",NA,"2/8/23","Skin_1","IG","R100",1,"H18","H18","H18_1",NA,NA,NA
"H18_2","J_1A_14","M","1A",75,"11/22/21","9/8/21","Spleen",NA,"3/6/23","Spleen_1","JC","RNA320",2,"H18","H18","H18_2",NA,NA,NA
"H19_2","P_1B_8","M","1B",147,"2/14/22","9/20/21","Spleen",NA,"3/6/23","Spleen_2","EC","RNA336",2,"H19","H19","H19_2",NA,NA,NA
"H2_1","P_1B_3","F","1B",77,"12/6/21","9/20/21","Gut",NA,"3/8/23","Gut_1","JC","RNA375",1,"H2","H2","H2_1",NA,NA,NA
"H2_2","P_1A_6","M","1A",133,"1/19/22","9/8/21","Bone","4/26/23","4/22/23","Bone_2","EC","RNA597",2,"H2","H2","H2_2",NA,NA,NA
"H21_1","E04","M","2",102,"6/24/22","3/14/22","Testis",NA,"2/10/23","Testis_1","EC","139",1,"H21","H21","H21_1",NA,NA,NA
"H21_2","D12","M","2",134,"7/26/22","3/14/22","Brain",NA,"1/31/23","Brain_1","IG","R30",2,"H21","H21","H21_2",NA,NA,NA
"H22_2","P_1B_9","F","1B",49,"11/8/21","9/20/21","Brain",NA,"1/31/23","Brain_1","EC","R46",2,"H22","H22","H22_2",NA,NA,NA
"H23_1","J_1A_1","M","1A",152,"2/7/22","9/8/21","Testis",NA,"2/24/23","Testis_2","EC","171",1,"H23","H23","H23_1",NA,NA,NA
"H23_2","P_1B_1","F","1B",77,"12/6/21","9/20/21","Brain",NA,"2/1/23","Brain_2","IG","R62",2,"H23","H23","H23_2",NA,NA,NA
"H3_1","J_1B_12","M","1B",49,"11/8/21","9/20/21","Gut",NA,"3/9/23","Gut_2","EC","RNA391",1,"H3","H3","H3_1",NA,NA,NA
"H3_2","J_1A_22","M","1A",47,"10/25/21","9/8/21","Bone","4/28/23","4/29/23","Bone_3","EC","RNA613",2,"H3","H3","H3_2",NA,NA,NA
"H5_1","A01","M","2",78,"5/31/22","3/14/22","Liver",NA,"1/30/23","Liver_2","EC","R08",1,"H5","H5","H5_1",NA,NA,NA
"H5_2","C03","M","2",162,"8/23/22","3/14/22","Fat","4/11/23","4/16/23","Fat_1","EC","RNA524",2,"H5","H5","H5_2",NA,NA,NA
"H6_1","J_1A_17","M","1A",47,"10/25/21","9/8/21","Liver",NA,"3/21/22","Liver_1","EC","RNA665",1,"H6","H6","H6_1",NA,NA,NA
"H6_2","P_1B_9","F","1B",49,"11/8/21","9/20/21","Fat","4/12/23","4/17/23","Fat_2","EC","RNA540",2,"H6","H6","H6_2",NA,NA,NA
"H7_1","J_1A_22","M","1A",47,"10/25/21","9/8/21","Liver",NA,"3/21/22","Liver_1","IG","RNA681",1,"H7","H7","H7_1",NA,NA,NA
"H7_2","P_1B_2","M","1B",133,"1/31/22","9/20/21","Fat","4/12/23","4/19/23","Fat_3","EC","RNA557",2,"H7","H7","H7_2",NA,NA,NA
"H9_1","I03","M","2",162,"8/23/22","3/14/22","Kidney",NA,"3/4/23","Kidney_1","EC","R249",1,"H9","H9","H9_1",NA,NA,NA
"H9_2","A06","F","2",102,"6/24/22","3/14/22","SpinalCord",NA,"3/10/23","SpinalCord_1","EC","RNA414",2,"H9","H9","H9_2",NA,NA,NA
"I1_1","A17","M","2",78,"5/31/22","3/14/22","Gut",NA,"3/8/23","Gut_1","EC","RNA360",1,"I1","I1","I1_1",NA,NA,NA
"I1_2","B01","M","2",134,"7/26/22","3/14/22","Bone","4/19/23","4/22/23","Bone_1","EC","RNA580",2,"I1","I1","I1_2",NA,NA,NA
"I10_1","J_1B_18","F","1B",133,"1/31/22","9/20/21","Kidney",NA,"3/4/23","Kidney_1","JC","R266",1,"I10","I10","I10_1",NA,NA,NA
"I10_2","P_1A_12","F","1A",75,"11/22/21","9/8/21","SpinalCord",NA,"3/13/23","SpinalCord_2","JC","RNA431",2,"I10","I10","I10_2",NA,NA,NA
"I11_1","J05","F","2",102,"6/24/22","3/14/22","Kidney",NA,"3/4/23","Kidney_2","JC","R282",1,"I11","I11","I11_1",NA,NA,NA
"I11_2","P_1B_8","M","1B",147,"2/14/22","9/20/21","SpinalCord",NA,"3/13/23","SpinalCord_2","EC","RNA447",2,"I11","I11","I11_2",NA,NA,NA
"I12_2","J_1A_17_and_J_1A_22","M","1A",47,"10/25/21","9/8/21","Eye",NA,NA,"Eye_1","MRW","643",2,"I12","I12","I12_2",NA,NA,NA
"I13_1","H_02","M","2",52,"5/5/22","3/14/22","Muscle",NA,"3/15/23","Muscle_1","EC","RNA470",1,"I13","I13","I13_1",NA,NA,NA
"I13_2","D_06","F","2",52,"5/5/22","3/14/22","Heart",NA,"3/3/23","Heart_1","EC","R195",2,"I13","I13","I13_2",NA,NA,NA
"I14_1","J_1B_13","M","1B",77,"12/6/21","9/20/21","Muscle",NA,"3/17/23","Muscle_2","EC","RNA486",1,"I14","I14","I14_1",NA,NA,NA
"I14_2","J_1A_14","M","1A",75,"11/22/21","9/8/21","Heart",NA,"3/3/23","Heart_1","JC","R211",2,"I14","I14","I14_2",NA,NA,NA
"I15_1","J_1B_18","F","1B",133,"1/31/22","9/20/21","Muscle",NA,"3/27/23","Muscle_3","EC","RNA502",1,"I15","I15","I15_1",NA,NA,NA
"I15_2","C1","F","2",155,"8/16/22","3/14/22","Heart",NA,"3/3/23","Heart_2","EC","R227",2,"I15","I15","I15_2",NA,NA,NA
"I16_2","P_1B_11","M","1B",147,"2/14/22","9/20/21","Eye",NA,NA,"Eye_1","MRW","651",2,"I16","I16","I16_2",NA,NA,NA
"I17_1","E_01","M","2",52,"5/5/22","3/14/22","Skin",NA,"2/8/23","Skin_1","EC","R85",1,"I17","I17","I17_1",NA,NA,NA
"I17_2","J04","M","2",162,"8/23/22","3/14/22","Spleen",NA,"3/6/23","Spleen_1","EC","RNA305",2,"I17","I17","I17_2",NA,NA,NA
"I18_1","D05","M","2",162,"8/23/22","3/14/22","Skin",NA,"2/8/23","Skin_2","IG","R101",1,"I18","I18","I18_1",NA,NA,NA
"I18_2","P_1B_4","F","1B",147,"2/14/22","9/20/21","Spleen",NA,"3/6/23","Spleen_1","JC","RNA321",2,"I18","I18","I18_2",NA,NA,NA
"I19_1","P_1A_10","M","1A",103,"12/20/21","9/8/21","Skin",NA,"2/8/23","Skin_2","EC","R117",1,"I19","I19","I19_1",NA,NA,NA
"I19_2","J_1A_13","M","1A",75,"11/22/21","9/8/21","Spleen",NA,"3/6/23","Spleen_2","EC","RNA337",2,"I19","I19","I19_2",NA,NA,NA
"I2_1","J_1B_2","M","1B",49,"11/8/21","9/20/21","Gut",NA,"3/8/23","Gut_1","JC","RNA376",1,"I2","I2","I2_1",NA,NA,NA
"I2_2","C04","F","2",134,"7/26/22","3/14/22","Bone","4/26/23","4/22/23","Bone_2","EC","RNA598",2,"I2","I2","I2_2",NA,NA,NA
"I20_2","A01","M","2",78,"5/31/22","3/14/22","Eye",NA,NA,"Eye_1","MRW","659",2,"I20","I20","I20_2",NA,NA,NA
"I21_1","D_06","F","2",52,"5/5/22","3/14/22","Ovary",NA,"2/10/23","Ovary_1","EC","140",1,"I21","I21","I21_1",NA,NA,NA
"I21_2","D_14","F","2",52,"5/5/22","3/14/22","Brain",NA,"1/31/23","Brain_1","IG","R31",2,"I21","I21","I21_2",NA,NA,NA
"I22_1","C1","F","2",155,"8/16/22","3/14/22","Ovary",NA,"2/24/23","Ovary_2","EC","156",1,"I22","I22","I22_1",NA,NA,NA
"I22_2","C03","M","2",162,"8/23/22","3/14/22","Brain",NA,"2/1/23","Brain_2","EC","R47",2,"I22","I22","I22_2",NA,NA,NA
"I23_1","J_1B_13","M","1B",77,"12/6/21","9/20/21","Testis",NA,"2/24/23","Testis_2","JC","172",1,"I23","I23","I23_1",NA,NA,NA
"I23_2","J_1B_18","F","1B",133,"1/31/22","9/20/21","Brain",NA,"2/1/23","Brain_2","IG","R63",2,"I23","I23","I23_2",NA,NA,NA
"I3_1","J_1A_25","M","1A",103,"12/20/21","9/8/21","Gut",NA,"3/9/23","Gut_2","EC","RNA392",1,"I3","I3","I3_1",NA,NA,NA
"I3_2","J_1A_25","M","1A",103,"12/20/21","9/8/21","Bone","4/28/23","4/29/23","Bone_3","EC","RNA614",2,"I3","I3","I3_2",NA,NA,NA
"I4_2","P_1A_2","F","1A",103,"12/20/21","9/8/21","Eye",NA,NA,"Eye_1","MRW","627",2,"I4","I4","I4_2",NA,NA,NA
"I5_1","I06","F","2",78,"5/31/22","3/14/22","Liver",NA,"1/30/23","Liver_2","EC","R09",1,"I5","I5","I5_1",NA,NA,NA
"I5_2","C04","F","2",134,"7/26/22","3/14/22","Fat","4/11/23","4/16/23","Fat_1","EC","RNA525",2,"I5","I5","I5_2",NA,NA,NA
"I6_1","J_1B_5","F","1B",49,"11/8/21","9/20/21","Liver",NA,"3/21/22","Liver_1","EC","RNA666",1,"I6","I6","I6_1",NA,NA,NA
"I6_2","P_1A_12","F","1A",75,"11/22/21","9/8/21","Fat","4/12/23","4/17/23","Fat_2","EC","RNA541",2,"I6","I6","I6_2",NA,NA,NA
"I7_1","P_1B_9","F","1B",49,"11/8/21","9/20/21","Liver",NA,"3/21/22","Liver_1","IG","RNA682",1,"I7","I7","I7_1",NA,NA,NA
"I7_2","J_1B_18","F","1B",133,"1/31/22","9/20/21","Fat","4/12/23","4/19/23","Fat_3","EC","RNA558",2,"I7","I7","I7_2",NA,NA,NA
"I8_2","E02","F","2",78,"5/31/22","3/14/22","Eye",NA,NA,"Eye_1","MRW","635",2,"I8","I8","I8_2",NA,NA,NA
"I9_1","D12","M","2",134,"7/26/22","3/14/22","Kidney",NA,"3/4/23","Kidney_1","EC","R250",1,"I9","I9","I9_1",NA,NA,NA
"I9_2","E_01","M","2",52,"5/5/22","3/14/22","SpinalCord",NA,"3/10/23","SpinalCord_1","EC","RNA415",2,"I9","I9","I9_2",NA,NA,NA
"J1_1","D12","M","2",134,"7/26/22","3/14/22","Gut",NA,"3/8/23","Gut_1","EC","RNA361",1,"J1","J1","J1_1",NA,NA,NA
"J1_2","F05","M","2",102,"6/24/22","3/14/22","Bone","4/19/23","4/22/23","Bone_1","EC","RNA581",2,"J1","J1","J1_2",NA,NA,NA
"J10_1","J_1B_6","F","1B",133,"1/31/22","9/20/21","Kidney",NA,"3/4/23","Kidney_1","JC","R267",1,"J10","J10","J10_1",NA,NA,NA
"J10_2","J_1B_2","M","1B",49,"11/8/21","9/20/21","SpinalCord",NA,"3/13/23","SpinalCord_2","JC","RNA432",2,"J10","J10","J10_2",NA,NA,NA
"J11_1","E04","M","2",102,"6/24/22","3/14/22","Kidney",NA,"3/4/23","Kidney_2","JC","R283",1,"J11","J11","J11_1",NA,NA,NA
"J11_2","J_1B_6","F","1B",133,"1/31/22","9/20/21","SpinalCord",NA,"3/13/23","SpinalCord_2","EC","RNA448",2,"J11","J11","J11_2",NA,NA,NA
"J12_2",NA,"M",NA,103,"","","Eye",NA,NA,"Eye_1","MRW","644",2,"J12","J12","J12_2",NA,NA,NA
