"","animalID","sex","cohort","age_days","harvest_date","hatch_date","tissue","tissue_grind_date","RNA_extract_date","RNA_batch","RNA_extractor","RNAID","cDNA_batch","plate_well","sampleNames","lib","censored","censor_code","notes"
"M21_1","P_1B_9","F","1B",49,"11/8/21","9/20/21","Ovary",NA,"2/10/23","Ovary_1","IG","148",1,"M21","M21","M21_1",NA,NA,NA
"M21_2","P_1A_12","F","1A",75,"11/22/21","9/8/21","Brain",NA,"1/31/23","Brain_1","EC","R35",2,"M21","M21","M21_2",NA,NA,NA
"M22_1","A06","F","2",102,"6/24/22","3/14/22","Ovary",NA,"2/24/23","Ovary_2","EC","160",1,"M22","M22","M22_1",NA,NA,NA
"M22_2","E_01","M","2",52,"5/5/22","3/14/22","Brain",NA,"2/1/23","Brain_2","EC","R51",2,"M22","M22","M22_2",NA,NA,NA
"M23_1","J_1B_2","M","1B",49,"11/8/21","9/20/21","Testis",NA,"2/24/23","Testis_2","JC","176",1,"M23","M23","M23_1",NA,NA,NA
"M23_2","P_1B_10","M","1B",133,"1/31/22","9/20/21","Brain",NA,"2/1/23","Brain_2","IG","R67",2,"M23","M23","M23_2",NA,NA,NA
"M3_1","P_1B_10","M","1B",133,"1/31/22","9/20/21","Gut",NA,"3/9/23","Gut_2","EC","RNA396",1,"M3","M3","M3_1",NA,NA,NA
"M3_2","P_1A_12","F","1A",75,"11/22/21","9/8/21","Bone","4/28/23","4/29/23","Bone_3","EC","RNA618",2,"M3","M3","M3_2",NA,NA,NA
"M4_2","P_1B_1_and_P_1B_3","F","1B",77,"12/6/21","9/20/21","Eye",NA,NA,"Eye_1","MRW","631",2,"M4","M4","M4_2",NA,NA,NA
"M5_1","J9","F","2",155,"8/16/22","3/14/22","Liver",NA,"1/30/23","Liver_2","IG","R13",1,"M5","M5","M5_1",NA,NA,NA
"M5_2","P_1B_3","F","1B",77,"12/6/21","9/20/21","Fat","4/12/23","4/16/23","Fat_1","EC","RNA529",2,"M5","M5","M5_2",NA,NA,NA
"M6_1","P_1B_1","F","1B",77,"12/6/21","9/20/21","Liver",NA,"3/21/22","Liver_1","EC","RNA670",1,"M6","M6","M6_1",NA,NA,NA
"M6_2","E02","F","2",78,"5/31/22","3/14/22","Fat","4/12/23","4/17/23","Fat_2","EC","RNA545",2,"M6","M6","M6_2",NA,NA,NA
"M7_1","P_1B_3","F","1B",77,"12/6/21","9/20/21","Liver",NA,"3/21/22","Liver_1","IG","RNA686",1,"M7","M7","M7_1",NA,NA,NA
"M7_2","P_1A_8","F","1A",75,"11/22/21","9/8/21","Fat","4/12/23","4/19/23","Fat_3","EC","RNA562",2,"M7","M7","M7_2",NA,NA,NA
"M8_2","J_1B_12_and_J_1B_2","M","1B",49,"11/8/21","9/20/21","Eye",NA,NA,"Eye_1","MRW","639",2,"M8","M8","M8_2",NA,NA,NA
"M9_1","C1","F","2",155,"8/16/22","3/14/22","Kidney",NA,"3/4/23","Kidney_1","EC","R254",1,"M9","M9","M9_1",NA,NA,NA
"M9_2","P_1A_2","F","1A",103,"12/20/21","9/8/21","SpinalCord",NA,"3/10/23","SpinalCord_1","EC","RNA419",2,"M9","M9","M9_2",NA,NA,NA
"N1_1","P_1B_1","F","1B",77,"12/6/21","9/20/21","Gut",NA,"3/8/23","Gut_1","EC","RNA365",1,"N1","N1","N1_1",NA,NA,NA
"N1_2","P_1B_3","F","1B",77,"12/6/21","9/20/21","Bone","4/19/23","4/22/23","Bone_1","EC","RNA587",2,"N1","N1","N1_2",NA,NA,NA
"N10_1","J_1A_1","M","1A",152,"2/7/22","9/8/21","Kidney",NA,"3/4/23","Kidney_2","JC","R271",1,"N10","N10","N10_1",NA,NA,NA
"N10_2","C04","F","2",134,"7/26/22","3/14/22","SpinalCord",NA,"3/13/23","SpinalCord_2","JC","RNA436",2,"N10","N10","N10_2",NA,NA,NA
"N11_1","P_1A_1","F","1A",47,"10/25/21","9/8/21","Kidney",NA,"3/4/23","Kidney_2","EC","R287",1,"N11","N11","N11_1",NA,NA,NA
"N11_2","P_1A_10","M","1A",103,"12/20/21","9/8/21","SpinalCord",NA,"3/13/23","SpinalCord_2","EC","RNA452",2,"N11","N11","N11_2",NA,NA,NA
"N12_2","P_1B_9_and_J_1B_5","F","1B",49,"11/8/21","9/20/21","Eye",NA,NA,"Eye_1","MRW","648",2,"N12","N12","N12_2",NA,NA,NA
"N13_1","J_1A_25","M","1A",103,"12/20/21","9/8/21","Muscle",NA,"3/15/23","Muscle_1","EC","RNA475",1,"N13","N13","N13_1",NA,NA,NA
"N13_2","A17","M","2",78,"5/31/22","3/14/22","Heart",NA,"3/3/23","Heart_1","EC","R200",2,"N13","N13","N13_2",NA,NA,NA
"N14_1","I03","M","2",162,"8/23/22","3/14/22","Muscle",NA,"3/17/23","Muscle_2","EC","RNA491",1,"N14","N14","N14_1",NA,NA,NA
"N14_2","J_1B_11","M","1B",161,"2/28/22","9/20/21","Heart",NA,"3/3/23","Heart_1","JC","R216",2,"N14","N14","N14_2",NA,NA,NA
"N15_1","P_1B_1","F","1B",77,"12/6/21","9/20/21","Muscle",NA,"3/27/23","Muscle_3","EC","RNA507",1,"N15","N15","N15_1",NA,NA,NA
"N15_2","P_1B_8","M","1B",147,"2/14/22","9/20/21","Heart",NA,"3/3/23","Heart_2","EC","R232",2,"N15","N15","N15_2",NA,NA,NA
"N16_2","P_1A_4","M","1A",133,"1/19/22","9/8/21","Eye",NA,NA,"Eye_1","MRW","656",2,"N16","N16","N16_2",NA,NA,NA
"N17_1","P_1A_8","F","1A",75,"11/22/21","9/8/21","Skin",NA,"2/8/23","Skin_1","IG","R90",1,"N17","N17","N17_1",NA,NA,NA
"N17_2","J_1B_11","M","1B",161,"2/28/22","9/20/21","Spleen",NA,"3/6/23","Spleen_1","EC","RNA310",2,"N17","N17","N17_2",NA,NA,NA
"N18_1","E04","M","2",102,"6/24/22","3/14/22","Skin",NA,"2/8/23","Skin_2","IG","R106",1,"N18","N18","N18_1",NA,NA,NA
"N18_2","D_14","F","2",52,"5/5/22","3/14/22","Spleen",NA,"3/6/23","Spleen_1","JC","RNA326",2,"N18","N18","N18_2",NA,NA,NA
"N19_1","P_1B_1","F","1B",77,"12/6/21","9/20/21","Skin",NA,"2/8/23","Skin_2","EC","R122",1,"N19","N19","N19_1",NA,NA,NA
"N19_2","J_1A_1","M","1A",152,"2/7/22","9/8/21","Spleen",NA,"3/6/23","Spleen_2","EC","RNA342",2,"N19","N19","N19_2",NA,NA,NA
"N2_1","F05","M","2",102,"6/24/22","3/14/22","Gut",NA,"3/8/23","Gut_1","JC","RNA381",1,"N2","N2","N2_1",NA,NA,NA
"N2_2","D_06","F","2",52,"5/5/22","3/14/22","Bone","4/26/23","4/22/23","Bone_2","EC","RNA603",2,"N2","N2","N2_2",NA,NA,NA
"N21_1","J_1B_20","M","1B",77,"12/6/21","9/20/21","Testis",NA,"2/10/23","Testis_1","IG","149",1,"N21","N21","N21_1",NA,NA,NA
"N21_2","J_1A_22","M","1A",47,"10/25/21","9/8/21","Brain",NA,"1/31/23","Brain_1","EC","R36",2,"N21","N21","N21_2",NA,NA,NA
"N22_1","C04","F","2",134,"7/26/22","3/14/22","Ovary",NA,"2/24/23","Ovary_2","EC","161",1,"N22","N22","N22_1",NA,NA,NA
"N22_2","D_06","F","2",52,"5/5/22","3/14/22","Brain",NA,"2/1/23","Brain_2","EC","R52",2,"N22","N22","N22_2",NA,NA,NA
"N23_1","J_1B_12","M","1B",49,"11/8/21","9/20/21","Testis",NA,"2/24/23","Testis_2","JC","177",1,"N23","N23","N23_1",NA,NA,NA
"N23_2","J_1B_13","M","1B",77,"12/6/21","9/20/21","Brain",NA,"2/1/23","Brain_2","IG","R68",2,"N23","N23","N23_2",NA,NA,NA
"N3_1","J_1A_24","F","1A",47,"10/25/21","9/8/21","Gut",NA,"3/9/23","Gut_2","EC","RNA397",1,"N3","N3","N3_1",NA,NA,NA
"N3_2","J_1A_17","M","1A",47,"10/25/21","9/8/21","Bone","4/28/23","4/29/23","Bone_3","EC","RNA619",2,"N3","N3","N3_2",NA,NA,NA
"N4_2","P_1A_1_and_J_1A_24","F","1A",47,"10/25/21","9/8/21","Eye",NA,NA,"Eye_1","MRW","632",2,"N4","N4","N4_2",NA,NA,NA
"N5_1","A06","F","2",102,"6/24/22","3/14/22","Liver",NA,"1/30/23","Liver_2","IG","R14",1,"N5","N5","N5_1",NA,NA,NA
"N5_2","J_1B_11","M","1B",161,"2/28/22","9/20/21","Fat","4/12/23","4/16/23","Fat_1","EC","RNA530",2,"N5","N5","N5_2",NA,NA,NA
"N6_1","J_1B_13","M","1B",77,"12/6/21","9/20/21","Liver",NA,"3/21/22","Liver_1","EC","RNA671",1,"N6","N6","N6_1",NA,NA,NA
"N6_2","F05","M","2",102,"6/24/22","3/14/22","Fat","4/12/23","4/17/23","Fat_2","EC","RNA546",2,"N6","N6","N6_2",NA,NA,NA
"N7_1","J_1B_20","M","1B",77,"12/6/21","9/20/21","Liver",NA,"3/21/22","Liver_1","IG","RNA687",1,"N7","N7","N7_1",NA,NA,NA
"N7_2","P_1A_2","F","1A",103,"12/20/21","9/8/21","Fat","4/12/23","4/19/23","Fat_3","EC","RNA563",2,"N7","N7","N7_2",NA,NA,NA
"N8_2","J_1B_4","M","1B",161,"2/28/22","9/20/21","Eye",NA,NA,"Eye_1","MRW","640",2,"N8","N8","N8_2",NA,NA,NA
"N9_1","J04","M","2",162,"8/23/22","3/14/22","Kidney",NA,"3/4/23","Kidney_1","EC","R255",1,"N9","N9","N9_1",NA,NA,NA
"N9_2","J_1B_12","M","1B",49,"11/8/21","9/20/21","SpinalCord",NA,"3/10/23","SpinalCord_1","EC","RNA420",2,"N9","N9","N9_2",NA,NA,NA
"O1_1","J_1A_17","M","1A",47,"10/25/21","9/8/21","Gut",NA,"3/8/23","Gut_1","EC","RNA366",1,"O1","O1","O1_1",NA,NA,NA
"O1_2","P_1B_1","F","1B",77,"12/6/21","9/20/21","Bone","4/19/23","4/22/23","Bone_1","EC","RNA588",2,"O1","O1","O1_2",NA,NA,NA
"O10_1","J_1B_13","M","1B",77,"12/6/21","9/20/21","Kidney",NA,"3/4/23","Kidney_2","JC","R272",1,"O10","O10","O10_1",NA,NA,NA
"O10_2","C1","F","2",155,"8/16/22","3/14/22","SpinalCord",NA,"3/13/23","SpinalCord_2","JC","RNA437",2,"O10","O10","O10_2",NA,NA,NA
"O11_1","J_1B_11","M","1B",161,"2/28/22","9/20/21","Kidney",NA,"3/4/23","Kidney_2","EC","R288",1,"O11","O11","O11_1",NA,NA,NA
"O11_2","J_1A_13","M","1A",75,"11/22/21","9/8/21","SpinalCord",NA,"3/13/23","SpinalCord_2","EC","RNA453",2,"O11","O11","O11_2",NA,NA,NA
"O12_2",NA,"F",NA,103,"","","Eye",NA,NA,"Eye_1","MRW","649",2,"O12","O12","O12_2",NA,NA,NA
"O13_1","J_1A_13","M","1A",75,"11/22/21","9/8/21","Muscle",NA,"3/15/23","Muscle_1","EC","RNA476",1,"O13","O13","O13_1",NA,NA,NA
"O13_2","E_01","M","2",52,"5/5/22","3/14/22","Heart",NA,"3/3/23","Heart_1","EC","R201",2,"O13","O13","O13_2",NA,NA,NA
"O14_1","J04","M","2",162,"8/23/22","3/14/22","Muscle",NA,"3/17/23","Muscle_2","EC","RNA492",1,"O14","O14","O14_1",NA,NA,NA
"O14_2","P_1A_4","M","1A",133,"1/19/22","9/8/21","Heart",NA,"3/3/23","Heart_1","JC","R217",2,"O14","O14","O14_2",NA,NA,NA
"O15_1","P_1B_2","M","1B",133,"1/31/22","9/20/21","Muscle",NA,"3/27/23","Muscle_3","EC","RNA508",1,"O15","O15","O15_1",NA,NA,NA
"O15_2","P_1A_6","M","1A",133,"1/19/22","9/8/21","Heart",NA,"3/3/23","Heart_2","EC","R233",2,"O15","O15","O15_2",NA,NA,NA
"O16_2","P_1B_8","M","1B",147,"2/14/22","9/20/21","Eye",NA,NA,"Eye_1","MRW","657",2,"O16","O16","O16_2",NA,NA,NA
"O17_1","J_1A_24","F","1A",47,"10/25/21","9/8/21","Skin",NA,"2/8/23","Skin_1","IG","R91",1,"O17","O17","O17_1",NA,NA,NA
"O17_2","P_1B_2","M","1B",133,"1/31/22","9/20/21","Spleen",NA,"3/6/23","Spleen_1","EC","RNA311",2,"O17","O17","O17_2",NA,NA,NA
"O18_1","F05","M","2",102,"6/24/22","3/14/22","Skin",NA,"2/8/23","Skin_2","IG","R107",1,"O18","O18","O18_1",NA,NA,NA
"O18_2","H_02","M","2",52,"5/5/22","3/14/22","Spleen",NA,"3/6/23","Spleen_1","JC","RNA327",2,"O18","O18","O18_2",NA,NA,NA
"O19_1","J_1A_1","M","1A",152,"2/7/22","9/8/21","Skin",NA,"2/8/23","Skin_2","EC","R123",1,"O19","O19","O19_1",NA,NA,NA
"O19_2","J_1A_25","M","1A",103,"12/20/21","9/8/21","Spleen",NA,"3/6/23","Spleen_2","EC","RNA343",2,"O19","O19","O19_2",NA,NA,NA
"O2_1","J05","F","2",102,"6/24/22","3/14/22","Gut",NA,"3/8/23","Gut_1","JC","RNA382",1,"O2","O2","O2_1",NA,NA,NA
"O2_2","C1","F","2",155,"8/16/22","3/14/22","Bone","4/26/23","4/22/23","Bone_2","EC","RNA604",2,"O2","O2","O2_2",NA,NA,NA
"O21_1","J_1A_14","M","1A",75,"11/22/21","9/8/21","Testis",NA,"2/10/23","Testis_1","IG","150",1,"O21","O21","O21_1",NA,NA,NA
"O21_2","P_1B_11","M","1B",147,"2/14/22","9/20/21","Brain",NA,"1/31/23","Brain_1","EC","R37",2,"O21","O21","O21_2",NA,NA,NA
"O22_1","D_14","F","2",52,"5/5/22","3/14/22","Ovary",NA,"2/24/23","Ovary_2","EC","162",1,"O22","O22","O22_1",NA,NA,NA
"O22_2","I05","F","2",134,"7/26/22","3/14/22","Brain",NA,"2/1/23","Brain_2","EC","R53",2,"O22","O22","O22_2",NA,NA,NA
"O23_1","J_1A_22","M","1A",47,"10/25/21","9/8/21","Testis",NA,"2/24/23","Testis_2","JC","178",1,"O23","O23","O23_1",NA,NA,NA
"O23_2","J_1B_4","M","1B",161,"2/28/22","9/20/21","Brain",NA,"2/1/23","Brain_2","IG","R69",2,"O23","O23","O23_2",NA,NA,NA
"O3_1","P_1A_12","F","1A",75,"11/22/21","9/8/21","Gut",NA,"3/9/23","Gut_2","EC","RNA398",1,"O3","O3","O3_1",NA,NA,NA
"O3_2","J_1B_18","F","1B",133,"1/31/22","9/20/21","Bone","4/28/23","4/29/23","Bone_3","EC","RNA620",2,"O3","O3","O3_2",NA,NA,NA
"O4_2","P_1A_10","M","1A",103,"12/20/21","9/8/21","Eye",NA,NA,"Eye_1","MRW","633",2,"O4","O4","O4_2",NA,NA,NA
"O5_1","E_01","M","2",52,"5/5/22","3/14/22","Liver",NA,"1/30/23","Liver_2","IG","R15",1,"O5","O5","O5_1",NA,NA,NA
"O5_2","P_1B_10","M","1B",133,"1/31/22","9/20/21","Fat","4/12/23","4/16/23","Fat_1","EC","RNA531",2,"O5","O5","O5_2",NA,NA,NA
"O6_1","P_1A_10","M","1A",103,"12/20/21","9/8/21","Liver",NA,"3/21/22","Liver_1","EC","RNA672",1,"O6","O6","O6_1",NA,NA,NA
"O6_2","D_06","F","2",52,"5/5/22","3/14/22","Fat","4/12/23","4/17/23","Fat_2","EC","RNA547",2,"O6","O6","O6_2",NA,NA,NA
"O7_1","P_1A_2","F","1A",103,"12/20/21","9/8/21","Liver",NA,"3/21/22","Liver_1","IG","RNA688",1,"O7","O7","O7_1",NA,NA,NA
"O7_2","J_1B_2","M","1B",49,"11/8/21","9/20/21","Fat","4/12/23","4/19/23","Fat_3","EC","RNA564",2,"O7","O7","O7_2",NA,NA,NA
"O8_2","J_1B_7","F","1B",147,"2/14/22","9/20/21","Eye",NA,NA,"Eye_1","MRW","641",2,"O8","O8","O8_2",NA,NA,NA
"O9_1","F05","M","2",102,"6/24/22","3/14/22","Kidney",NA,"3/4/23","Kidney_1","JC","R256",1,"O9","O9","O9_1",NA,NA,NA
"O9_2","J_1B_7","F","1B",147,"2/14/22","9/20/21","SpinalCord",NA,"3/10/23","SpinalCord_1","EC","RNA421",2,"O9","O9","O9_2",NA,NA,NA
"P1_1","P_1B_8","M","1B",147,"2/14/22","9/20/21","Gut",NA,"3/8/23","Gut_1","EC","RNA367",1,"P1","P1","P1_1",NA,NA,NA
"P10_1","P_1A_12","F","1A",75,"11/22/21","9/8/21","Kidney",NA,"3/4/23","Kidney_2","JC","R273",1,"P10","P10","P10_1",NA,NA,NA
"P10_2","A01","M","2",78,"5/31/22","3/14/22","SpinalCord",NA,"3/13/23","SpinalCord_2","JC","RNA438",2,"P10","P10","P10_2",NA,NA,NA
"P11_1","P_1B_3","F","1B",77,"12/6/21","9/20/21","Kidney",NA,"3/4/23","Kidney_2","EC","R289",1,"P11","P11","P11_1",NA,NA,NA
"P11_2","J_1B_5","F","1B",49,"11/8/21","9/20/21","SpinalCord",NA,"3/13/23","SpinalCord_2","EC","RNA454",2,"P11","P11","P11_2",NA,NA,NA
"P12_2","E04","M","2",102,"6/24/22","3/14/22","Eye",NA,NA,"Eye_1","MRW","650",2,"P12","P12","P12_2",NA,NA,NA
"P13_1","J_1A_24","F","1A",47,"10/25/21","9/8/21","Muscle",NA,"3/15/23","Muscle_1","EC","RNA477",1,"P13","P13","P13_1",NA,NA,NA
"P13_2","P_1B_2","M","1B",133,"1/31/22","9/20/21","Heart",NA,"3/3/23","Heart_1","JC","R202",2,"P13","P13","P13_2",NA,NA,NA
"P14_1","D05","M","2",162,"8/23/22","3/14/22","Muscle",NA,"3/17/23","Muscle_2","EC","RNA493",1,"P14","P14","P14_1",NA,NA,NA
"P14_2","J_1B_20","M","1B",77,"12/6/21","9/20/21","Heart",NA,"3/3/23","Heart_1","JC","R218",2,"P14","P14","P14_2",NA,NA,NA
"P15_1","P_1A_12","F","1A",75,"11/22/21","9/8/21","Muscle",NA,"3/27/23","Muscle_3","EC","RNA509",1,"P15","P15","P15_1",NA,NA,NA
"P15_2","J_1B_13","M","1B",77,"12/6/21","9/20/21","Heart",NA,"3/3/23","Heart_2","EC","R234",2,"P15","P15","P15_2",NA,NA,NA
"P16_2","A17","M","2",78,"5/31/22","3/14/22","Eye",NA,NA,"Eye_1","MRW","658",2,"P16","P16","P16_2",NA,NA,NA
"P17_1","J_1A_13","M","1A",75,"11/22/21","9/8/21","Skin",NA,"2/8/23","Skin_1","IG","R92",1,"P17","P17","P17_1",NA,NA,NA
"P17_2","J_1B_6","F","1B",133,"1/31/22","9/20/21","Spleen",NA,"3/6/23","Spleen_1","EC","RNA312",2,"P17","P17","P17_2",NA,NA,NA
"P18_1","D_06","F","2",52,"5/5/22","3/14/22","Skin",NA,"2/8/23","Skin_2","IG","R108",1,"P18","P18","P18_1",NA,NA,NA
"P18_2","I05","F","2",134,"7/26/22","3/14/22","Spleen",NA,"3/6/23","Spleen_1","JC","RNA328",2,"P18","P18","P18_2",NA,NA,NA
"P19_1","P_1B_10","M","1B",133,"1/31/22","9/20/21","Skin",NA,"2/8/23","Skin_2","EC","R124",1,"P19","P19","P19_1",NA,NA,NA
"P19_2","P_1B_3","F","1B",77,"12/6/21","9/20/21","Spleen",NA,"3/6/23","Spleen_2","EC","RNA344",2,"P19","P19","P19_2",NA,NA,NA
"P2_1","E04","M","2",102,"6/24/22","3/14/22","Gut",NA,"3/8/23","Gut_1","JC","RNA383",1,"P2","P2","P2_1",NA,NA,NA
"P2_2","A06","F","2",102,"6/24/22","3/14/22","Bone","4/26/23","4/22/23","Bone_2","EC","RNA605",2,"P2","P2","P2_2",NA,NA,NA
"P21_1","P_1A_3","M","1A",152,"2/7/22","9/8/21","Testis",NA,"2/10/23","Testis_1","IG","151",1,"P21","P21","P21_1",NA,NA,NA
"P21_2","P_1A_3","M","1A",152,"2/7/22","9/8/21","Brain",NA,"1/31/23","Brain_1","EC","R38",2,"P21","P21","P21_2",NA,NA,NA
"P22_1","J05","F","2",102,"6/24/22","3/14/22","Ovary",NA,"2/24/23","Ovary_2","EC","163",1,"P22","P22","P22_1",NA,NA,NA
"P22_2","H_02","M","2",52,"5/5/22","3/14/22","Brain",NA,"2/1/23","Brain_2","EC","R54",2,"P22","P22","P22_2",NA,NA,NA
"P23_1","J_1B_4","M","1B",161,"2/28/22","9/20/21","Testis",NA,"2/24/23","Testis_2","JC","179",1,"P23","P23","P23_1",NA,NA,NA
"P23_2","J_1B_6","F","1B",133,"1/31/22","9/20/21","Brain",NA,"2/1/23","Brain_2","IG","R70",2,"P23","P23","P23_2",NA,NA,NA
"P3_1","J_1B_5","F","1B",49,"11/8/21","9/20/21","Gut",NA,"3/9/23","Gut_2","EC","RNA399",1,"P3","P3","P3_1",NA,NA,NA
"P3_2","J_1A_24","F","1A",47,"10/25/21","9/8/21","Bone","4/28/23","4/29/23","Bone_3","EC","RNA621",2,"P3","P3","P3_2",NA,NA,NA
"P4_2","I03","M","2",162,"8/23/22","3/14/22","Eye",NA,NA,"Eye_1","MRW","634",2,"P4","P4","P4_2",NA,NA,NA
"P5_1","C03","M","2",162,"8/23/22","3/14/22","Liver",NA,"1/30/23","Liver_2","IG","R16",1,"P5","P5","P5_1",NA,NA,NA
"P5_2","J_1A_1","M","1A",152,"2/7/22","9/8/21","Fat","4/12/23","4/16/23","Fat_1","EC","RNA532",2,"P5","P5","P5_2",NA,NA,NA
"P6_1","P_1A_4","M","1A",133,"1/19/22","9/8/21","Liver",NA,"3/21/22","Liver_1","EC","RNA673",1,"P6","P6","P6_1",NA,NA,NA
"P6_2","J04","M","2",162,"8/23/22","3/14/22","Fat","4/12/23","4/17/23","Fat_2","EC","RNA548",2,"P6","P6","P6_2",NA,NA,NA
"P7_1","J_1A_25","M","1A",103,"12/20/21","9/8/21","Liver",NA,"3/21/22","Liver_1","IG","RNA689",1,"P7","P7","P7_1",NA,NA,NA
"P7_2","P_1B_1","F","1B",77,"12/6/21","9/20/21","Fat","4/13/23","4/19/23","Fat_3","EC","RNA566",2,"P7","P7","P7_2",NA,NA,NA
"P8_2","J_1A_25","M","1A",103,"12/20/21","9/8/21","Eye",NA,NA,"Eye_1","MRW","642",2,"P8","P8","P8_2",NA,NA,NA
"P9_1","J_1B_2","M","1B",49,"11/8/21","9/20/21","Kidney",NA,"3/4/23","Kidney_1","JC","R257",1,"P9","P9","P9_1",NA,NA,NA
"P9_2","P_1B_9","F","1B",49,"11/8/21","9/20/21","SpinalCord",NA,"3/10/23","SpinalCord_1","EC","RNA422",2,"P9","P9","P9_2",NA,NA,NA
